Process,Requester,Approver,Administrator,Reviewer,ConflictRisk,RecommendedControl,HomelabStatus
New user creation,Manager or authorized requester,Department manager or IT approver,Identity administrator,Quarterly access reviewer,One person could create unauthorized accounts,Require approval before account creation and review after onboarding,MANUAL CONTROL DOCUMENTED
Security group access,User or manager,Group owner or manager,Identity administrator,Quarterly access reviewer,Administrator could grant excessive access,Require group-owner approval and record the request,MANUAL CONTROL DOCUMENTED
Privileged role assignment,Department head or security owner,Authorized senior administrator,Privileged role administrator,Independent reviewer,One administrator could grant permanent privileged access,Require written approval and periodic privileged-role review,MANUAL CONTROL DOCUMENTED
MFA reset,User or help desk,Identity verification approver,Authentication administrator,Security reviewer,Attacker could impersonate a user and reset MFA,Require independent identity verification and ticket evidence,MANUAL CONTROL DOCUMENTED
Password reset,User or help desk,Identity verification approver,Helpdesk administrator,Access reviewer,Unauthorized reset could enable account takeover,Verify identity and document the reset,MANUAL CONTROL DOCUMENTED
Disabled account retention,HR or manager,Data or system owner,Identity administrator,Quarterly reviewer,Inactive accounts could retain unnecessary access,Review roles groups licences and retention date,MANUAL CONTROL DOCUMENTED
User offboarding,HR or manager,Department manager,Identity administrator,Independent reviewer,Administrator could fail to remove all access,Use an offboarding checklist and validate sign-in is blocked,MANUAL CONTROL DOCUMENTED
Group ownership change,Current owner or manager,Authorized manager,Identity administrator,Quarterly reviewer,Unauthorized owner could approve future access,Require approval and document the ownership change,MANUAL CONTROL DOCUMENTED
Emergency account change,Security or tenant owner,Authorized recovery approver,Global administrator,Separate recovery reviewer,Changing both recovery accounts could cause tenant lockout,Modify only one account at a time and validate the other,MANUAL CONTROL DOCUMENTED
Conditional Access deployment,Security owner,Change approver,Conditional Access administrator,Independent validator,Misconfiguration could block tenant access,Use pilot scope report-only mode emergency exclusions and rollback plan,DESIGN ONLY — LICENCE REQUIRED
Access certification,Group owner or manager,Access owner,Identity administrator,Independent reviewer,Reviewer may approve their own access,Use separate reviewers where staffing allows,COMPLETED WITH DOCUMENTED LIMITATION
